,RCDTS,School_Name,School_Type,County,#_Student_Enrollment,Perc_Student_Enrollment_Low_Income,Student_Attendance_Rate,$_Site_level_Per_Pupil_Expenditures_Subtotal,$_District_Centralized_Per_Pupil_Expenditure_Subtotal,$_Total_Per_Pupil_Expenditures_Subtotal,SAT_Reading_Average,SAT_Math_Average,Address,City,County_Name,Rec_Type,Zip,Lat,Lng,Avg_Home_Value
5691,5.01621E+13,Rolling Meadows High School,HIGH SCHOOL,Cook,1863,20.7,95.1,13251.39,7582.17,20833.56,513.6,526,2901 Central Rd,Rolling Meadows,Cook,Sch,60008,42.0649256,-88.0156955,246367.58
4284,5.01622E+13,Niles North High School,HIGH SCHOOL,Cook,2068,32,93.9,21542.7101,5460.6001,27003.3102,527.9,531.4,9800 Lawler Ave,Skokie,Cook,Sch,60077,42.0593855,-87.7548057,301283.25
4284,5.01622E+13,Niles West High School,HIGH SCHOOL,Cook,2464,30.1,93.7,18846.5132,5234.1486,24080.6618,529.3,539.4,5701 Oakton St,Skokie,Cook,Sch,60077,42.0258557,-87.771763,301283.25
1527,5.01623E+13,Glenbrook North High School,HIGH SCHOOL,Cook,2023,4.8,94.8,19252,5736,24988,584.1,601.2,2300 Shermer Rd,Northbrook,Cook,Sch,60062,42.1106997,-87.8313344,535654
8194,5.01623E+13,Glenbrook South High School,HIGH SCHOOL,Cook,3078,18,94.3,15910,5736,21646,569.4,583.7,4000 W Lake Ave,Glenview,Cook,Sch,60026,42.0887384,-87.8515991,603262.25
2117,6.0162E+13,Oak Park & River Forest High Sch,HIGH SCHOOL,Cook,3398,19.2,94,14869.36,8771.77,23641.13,569.7,566.5,201 N Scoville Ave,Oak Park,Cook,Sch,60302,41.8900913,-87.7888658,443539.67
1082,6.0162E+13,J Sterling Morton East High Sch,HIGH SCHOOL,Cook,3476,90.9,91.7,8111,4000,12111,444.2,420,2423 S Austin Blvd,Cicero,Cook,Sch,60804,41.8465895,-87.7707986,188889.5
1082,6.0162E+13,J Sterling Morton Freshman Cntr,HIGH SCHOOL,Cook,1242,93.7,94.2,9526,4059,13585,,,1801 S 55th Ave,Cicero,Cook,Sch,60804,41.8569905,-87.7597205,188889.5
734,6.0162E+13,J Sterling Morton West High Sch,HIGH SCHOOL,Cook,3569,80.5,92.1,8105,4065,12170,458.3,430.1,2400 Home Ave,Berwyn,Cook,Sch,60402,41.8465321,-87.7989859,219822.75
3192,6.0162E+13,Lyons Twp High Sch,HIGH SCHOOL,Cook,4050,11.8,94.2,15794.43,2517.02,18311.45,557.1,574.3,100 S Brainard Ave,La Grange,Cook,Sch,60525,41.8112439,-87.8802899,399539.25
